Common MCU Registers to Host I2C Addr,,,,,,,,
Host I2C addr,Read/Write,Save Where,Saved,Flash Addr,Description,,,
0x80,RW,FLASH,YES,0xF200,"module_type:
High 4b: rate
0: 100G
1: 10G
2: 25G
3: 40G, 

Low 4b: mode
1: SR4,  2: CWDM4, 3: LR4,",ATE_INIT,MAO (SuperCode),"101
201
202
203
206
207
301"
0x81,RW,FLASH,YES,0xF201,"Type Number, 顺序增加",ATE_INIT,MAO (SuperCode),
0x82,RW,FLASH,YES,0xF202,hw_ver (AMn),ATE_INIT,MAO (SuperCode),
0x83,RW,FLASH,YES,0xF203,pcba_code[0],ATE_INIT,MAO (PCBACode),
0x84,RW,FLASH,YES,0xF204,pcba_code[1],ATE_INIT,MAO (PCBACode),
0x85,RW,FLASH,YES,0xF205,pcba_code[2],ATE_INIT,MAO (PCBACode),
0x86,RW,FLASH,YES,0xF206,pcba_code[3],ATE_INIT,MAO (PCBACode),
0x87,RW,FLASH,YES,0xF207,pcba_code[4],ATE_INIT,MAO (PCBACode),
0x88,RW,FLASH,YES,0xF208,pcba_code[5],ATE_INIT,MAO (PCBACode),
0x89,RW,FLASH,YES,0xF209,pcba_code[6],ATE_INIT,MAO (PCBACode),
0x8A,RW,FLASH,YES,0xF20A,pcba_code[7],ATE_INIT,MAO (PCBACode),
0x8B,RW,FLASH,YES,0xF20B,pcba_code[8],ATE_INIT,MAO (PCBACode),
0x8C,RW,FLASH,YES,0xF20C,pcba_code[9],ATE_INIT,MAO (PCBACode),
0x8D,RW,FLASH,YES,0xF20D,pcba_code[10],ATE_INIT,MAO (PCBACode),
0x8E,RW,FLASH,YES,0xF20E,pcba_code[11],ATE_INIT,MAO (PCBACode),
0x8F,RW,FLASH,YES,0xF20F,pcba_code[12],ATE_INIT,MAO (PCBACode),
0x90,RW,FLASH,YES,0xF210,pcba_code[13],ATE_INIT,MAO (PCBACode),
0x91,RW,FLASH,YES,0xF211,pcba_code[14],ATE_INIT,MAO (PCBACode),
0x92,RW,FLASH,YES,0xF212,pcba_code[15],ATE_INIT,MAO (PCBACode),
0x93,RW,FLASH,YES,0xF213,laser_tx_sn[0],ATE_INIT,MES / SCAN,
0x94,RW,FLASH,YES,0xF214,laser_tx_sn[1],ATE_INIT,MES / SCAN,
0x95,RW,FLASH,YES,0xF215,laser_tx_sn[2],ATE_INIT,MES / SCAN,
0x96,RW,FLASH,YES,0xF216,laser_tx_sn[3],ATE_INIT,MES / SCAN,
0x97,RW,FLASH,YES,0xF217,laser_tx_sn[4],ATE_INIT,MES / SCAN,
0x98,RW,FLASH,YES,0xF218,laser_tx_sn[5],ATE_INIT,MES / SCAN,
0x99,RW,FLASH,YES,0xF219,laser_tx_sn[6],ATE_INIT,MES / SCAN,
0x9A,RW,FLASH,YES,0xF21A,laser_tx_sn[7],ATE_INIT,MES / SCAN,
0x9B,RW,FLASH,YES,0xF21B,laser_tx_sn[8],ATE_INIT,MES / SCAN,
0x9C,RW,FLASH,YES,0xF21C,laser_tx_sn[9],ATE_INIT,MES / SCAN,
0x9D,RW,FLASH,YES,0xF21D,laser_tx_sn[10],ATE_INIT,MES / SCAN,
0x9E,RW,FLASH,YES,0xF21E,laser_tx_sn[11],ATE_INIT,MES / SCAN,
0x9F,RW,FLASH,YES,0xF21F,laser_tx_sn[12],ATE_INIT,MES / SCAN,
0xA0,RW,FLASH,YES,0xF220,laser_tx_sn[13],ATE_INIT,MES / SCAN,
0xA1,RW,FLASH,YES,0xF221,laser_tx_sn[14],ATE_INIT,MES / SCAN,
0xA2,RW,FLASH,YES,0xF222,laser_tx_sn[15],ATE_INIT,MES / SCAN,
0xA3,RW,FLASH,YES,0xF223,laser_rx_sn[0],ATE_INIT,MES / SCAN,
0xA4,RW,FLASH,YES,0xF224,laser_rx_sn[1],ATE_INIT,MES / SCAN,
0xA5,RW,FLASH,YES,0xF225,laser_rx_sn[2],ATE_INIT,MES / SCAN,
0xA6,RW,FLASH,YES,0xF226,laser_rx_sn[3],ATE_INIT,MES / SCAN,
0xA7,RW,FLASH,YES,0xF227,laser_rx_sn[4],ATE_INIT,MES / SCAN,
0xA8,RW,FLASH,YES,0xF228,laser_rx_sn[5],ATE_INIT,MES / SCAN,
0xA9,RW,FLASH,YES,0xF229,laser_rx_sn[6],ATE_INIT,MES / SCAN,
0xAA,RW,FLASH,YES,0xF22A,laser_rx_sn[7],ATE_INIT,MES / SCAN,
0xAB,RW,FLASH,YES,0xF22B,laser_rx_sn[8],ATE_INIT,MES / SCAN,
0xAC,RW,FLASH,YES,0xF22C,laser_rx_sn[9],ATE_INIT,MES / SCAN,
0xAD,RW,FLASH,YES,0xF22D,laser_rx_sn[10],ATE_INIT,MES / SCAN,
0xAE,RW,FLASH,YES,0xF22E,laser_rx_sn[11],ATE_INIT,MES / SCAN,
0xAF,RW,FLASH,YES,0xF22F,laser_rx_sn[12],ATE_INIT,MES / SCAN,
0xB0,RW,FLASH,YES,0xF230,laser_rx_sn[13],ATE_INIT,MES / SCAN,
0xB1,RW,FLASH,YES,0xF231,laser_rx_sn[14],ATE_INIT,MES / SCAN,
0xB2,RW,FLASH,YES,0xF232,laser_rx_sn[15],ATE_INIT,MES / SCAN,
0xB3,RW,FLASH,YES,0xF233,pcba_sn[0],ATE_INIT,MES / SCAN,
0xB4,RW,FLASH,YES,0xF234,pcba_sn[1],ATE_INIT,MES / SCAN,
0xB5,RW,FLASH,YES,0xF235,pcba_sn[2],ATE_INIT,MES / SCAN,
0xB6,RW,FLASH,YES,0xF236,pcba_sn[3],ATE_INIT,MES / SCAN,
0xB7,RW,FLASH,YES,0xF237,pcba_sn[4],ATE_INIT,MES / SCAN,
0xB8,RW,FLASH,YES,0xF238,pcba_sn[5],ATE_INIT,MES / SCAN,
0xB9,RW,FLASH,YES,0xF239,pcba_sn[6],ATE_INIT,MES / SCAN,
0xBA,RW,FLASH,YES,0xF23A,pcba_sn[7],ATE_INIT,MES / SCAN,
0xBB,RW,FLASH,YES,0xF23B,pcba_sn[8],ATE_INIT,MES / SCAN,
0xBC,RW,FLASH,YES,0xF23C,pcba_sn[9],ATE_INIT,MES / SCAN,
0xBD,RW,FLASH,YES,0xF23D,pcba_sn[10],ATE_INIT,MES / SCAN,
0xBE,RW,FLASH,YES,0xF23E,pcba_sn[11],ATE_INIT,MES / SCAN,
0xBF,RW,FLASH,YES,0xF23F,pcba_sn[12],ATE_INIT,MES / SCAN,
0xC0,RW,FLASH,YES,0xF240,pcba_sn[13],ATE_INIT,MES / SCAN,
0xC1,RW,FLASH,YES,0xF241,pcba_sn[14],ATE_INIT,MES / SCAN,
0xC2,RW,FLASH,YES,0xF242,pcba_sn[15],ATE_INIT,MES / SCAN,
