Common MCU Registers to Host I2C Addr (LookupTable),,,,,,,,,,,,,,
Host I2C addr,Read/Write,Save Where,Saved,Flash Addr,,Description,,,,,,,,
0x80,RW,FLASH,YES,62208,F300,Temp[HT][MSB],,,,,,,,
0x81,RW,FLASH,YES,62209,F301,Temp[HT][LSB],,,,,,,,
0x82,RW,FLASH,YES,62210,F302,Vcc[HT][MSB],,,,,,,,
0x83,RW,FLASH,YES,62211,F303,Vcc[HT][LSB],,,,,,,,
0x84,RW,FLASH,YES,62212,F304,iBias[HT][ch0][MSB],,,,,,,,
0x85,RW,FLASH,YES,62213,F305,iBias[HT][ch0][LSB],,,,,,,,
0x86,RW,FLASH,YES,62214,F306,RxPower[HT][ch0][MSB],,,,,,,,
0x87,RW,FLASH,YES,62215,F307,RxPower[HT][ch0][LSB],,,,,,,,
0x88,RW,FLASH,YES,62216,F308,TxPower[HT][ch0][MSB],,,,,,,,
0x89,RW,FLASH,YES,62217,F309,TxPower[HT][ch0][LSB],,,,,,,,
0x8A,RW,FLASH,YES,62218,F30A,Bias[HT][ch0][MSB],,,,,,,,
0x8B,RW,FLASH,YES,62219,F30B,Bias[HT][ch0][LSB],,,,,,,,
0x8C,RW,FLASH,YES,62220,F30C,Modulation[HT][ch0][MSB],,,,,,,,
0x8D,RW,FLASH,YES,62221,F30D,Modulation[HT][ch0][LSB],,,,,,,,
0x8E,RW,FLASH,YES,62222,F30E,Crossing[HT][ch0][MSB],,,,,,,,
0x8F,RW,FLASH,YES,62223,F30F,Crossing[HT][ch0][LSB],,,,,,,,
0x90,RW,FLASH,YES,62224,F310,iBias[HT][ch1][MSB],,,,,,,,
0x91,RW,FLASH,YES,62225,F311,iBias[HT][ch1][LSB],,,,,,,,
0x92,RW,FLASH,YES,62226,F312,RxPower[HT][ch1][MSB],,,,,,,,
0x93,RW,FLASH,YES,62227,F313,RxPower[HT][ch1][LSB],,,,,,,,
0x94,RW,FLASH,YES,62228,F314,TxPower[HT][ch1][MSB],,,,,,,,
0x95,RW,FLASH,YES,62229,F315,TxPower[HT][ch1][LSB],,,,,,,,
0x96,RW,FLASH,YES,62230,F316,Bias[HT][ch1][MSB],,,,,,,,
0x97,RW,FLASH,YES,62231,F317,Bias[HT][ch1][LSB],,,,,,,,
0x98,RW,FLASH,YES,62232,F318,Modulation[HT][ch1][MSB],,,,,,,,
0x99,RW,FLASH,YES,62233,F319,Modulation[HT][ch1][LSB],,,,,,,,
0x9A,RW,FLASH,YES,62234,F31A,Crossing[HT][ch1][MSB],,,,,,,,
0x9B,RW,FLASH,YES,62235,F31B,Crossing[HT][ch1][LSB],,,,,,,,
0x9C,RW,FLASH,YES,62236,F31C,iBias[HT][ch2][MSB],,,,,,,,
0x9D,RW,FLASH,YES,62237,F31D,iBias[HT][ch2][LSB],,,,,,,,
0x9E,RW,FLASH,YES,62238,F31E,RxPower[HT][ch2][MSB],,,,,,,,
0x9F,RW,FLASH,YES,62239,F31F,RxPower[HT][ch2][LSB],,,,,,,,
0xA0,RW,FLASH,YES,62240,F320,TxPower[HT][ch2][MSB],,,,,,,,
0xA1,RW,FLASH,YES,62241,F321,TxPower[HT][ch2][LSB],,,,,,,,
0xA2,RW,FLASH,YES,62242,F322,Bias[HT][ch2][MSB],,,,,,,,
0xA3,RW,FLASH,YES,62243,F323,Bias[HT][ch2][LSB],,,,,,,,
0xA4,RW,FLASH,YES,62244,F324,Modulation[HT][ch2][MSB],,,,,,,,
0xA5,RW,FLASH,YES,62245,F325,Modulation[HT][ch2][LSB],,,,,,,,
0xA6,RW,FLASH,YES,62246,F326,Crossing[HT][ch2][MSB],,,,,,,,
0xA7,RW,FLASH,YES,62247,F327,Crossing[HT][ch2][LSB],,,,,,,,
0xA8,RW,FLASH,YES,62248,F328,iBias[HT][ch3][MSB],,,,,,,,
0xA9,RW,FLASH,YES,62249,F329,iBias[HT][ch3][LSB],,,,,,,,
0xAA,RW,FLASH,YES,62250,F32A,RxPower[HT][ch3][MSB],,,,,,,,
0xAB,RW,FLASH,YES,62251,F32B,RxPower[HT][ch3][LSB],,,,,,,,
0xAC,RW,FLASH,YES,62252,F32C,TxPower[HT][ch3][MSB],,,,,,,,
0xAD,RW,FLASH,YES,62253,F32D,TxPower[HT][ch3][LSB],,,,,,,,
0xAE,RW,FLASH,YES,62254,F32E,Bias[HT][ch3][MSB],,,,,,,,
0xAF,RW,FLASH,YES,62255,F32F,Bias[HT][ch3][LSB],,,,,,,,
0xB0,RW,FLASH,YES,62256,F330,Modulation[HT][ch3][MSB],,,,,,,,
0xB1,RW,FLASH,YES,62257,F331,Modulation[HT][ch3][LSB],,,,,,,,
0xB2,RW,FLASH,YES,62258,F332,Crossing[HT][ch3][MSB],,,,,,,,
0xB3,RW,FLASH,YES,62259,F333,Crossing[HT][ch3][LSB],,,,,,,,
0xB4,RW,FLASH,YES,62260,F334,Ddmi bias[ch1] cali offset1[MSB],"rx power = RXPOWER1 + (rssi-RSSI1)(RXPOWER2-RX POWER1)/(RSSI2-RSSI1)
RXPOWER1/RXPOWER2为校准时常温下两个接收光功率的仪表测量值
RSSI1/RSSI2为校准时常温下两个接收光功率的寄存器读取值
rssi为当前读取的寄存器光功率值",,,,,,,
0xB5,RW,FLASH,YES,62261,F335,Ddmi bias[ch1] cali offset1[LSB],,,,,,,,
0xB6,RW,FLASH,YES,62262,F336,Ddmi bias[ch1] cali offset2[MSB],,,,,,,,
0xB7,RW,FLASH,YES,62263,F337,Ddmi bias[ch1] cali offset2[LSB],,,,,,,,
0xB8,RW,FLASH,YES,62264,F338,Ddmi rxpower[ch1] cali RXPOWER1[MSB],,,,,,,,
0xB9,RW,FLASH,YES,62265,F339,Ddmi rxpower[ch1] cali RXPOWER1[LSB],,,,,,,,
0xBA,RW,FLASH,YES,62266,F33A,Ddmi rxpower[ch1] cali RSSI1[MSB],,,,,,,,
