Host I2C addr,Read/Write,Save Where,Saved,Flash Addr,Description, 
0x80,RW,FLASH,YES,0xF380,老化完成次数,0xFF: do initialize aging state area in this page(max value 0xFE)
0x81,RW,FLASH,YES,0xF381,"最后一次老化结果, 1 Byte：
0: Hold or not run (缺省)
1: Running  in low temp
2: Running normally
3: Success;
0xF0: Failed","其它未定义值行为同0. 
"
0x82,RW,FLASH,YES,0xF382,temp/vcc 失败原因 ,"b0: high temperature
b1: high vcc
b2: low vcc"
0x83,RW,FLASH,YES,0xF383,ibias 失败原因,"b0：ch0 high ibias
b1：ch0 low ibias 
b2：ch1 high ibias
b3：ch1 low ibias 
b4：ch2 high ibias
b5：ch2 low ibias 
b6：ch3 high ibias
b7：ch3 low ibias 
"
0x84,RW,FLASH,YES,0xF384,rssi 失败原因,"b0：ch0 high rssi
b1：ch0 low rssi 
b2：ch1 high rssi
b3：ch1 low rssi 
b4：ch2 high rssi
b5：ch2 low rssi 
b6：ch3 high rssi
b7：ch3 low rssi"
0x85,RW,FLASH,YES,0xF385,mpd 失败原因,"b0：ch0 high mpd
b1：ch0 low mpd 
b2：ch1 high mpd
b3：ch1 low mpd 
b4：ch2 high mpd
b5：ch2 low mpd 
b6：ch3 high mpd
b7：ch3 low mpd"
0x86,RW,FLASH,YES,0xF386,前次老化总运行时间MSB,单位为min
0x87,RW,FLASH,YES,0xF387,前次老化总运行时间LSB,
0x88,RW,FLASH,YES,0xF388,老化开始时间：YY,
0x89,RW,FLASH,YES,0xF389,老化开始时间：MM,
0x8A,RW,FLASH,YES,0xF38A,老化开始时间：DD, 
0x8B,RW,FLASH,YES,0xF38B,老化开始时间：hh,
0x8C,RW,FLASH,YES,0xF38C,老化开始时间：mm,
0x8D,RW,FLASH,YES,0xF38D,老化结束时间：YY,
0x8E,RW,FLASH,YES,0xF38E,老化结束时间：MM,
0x8F,RW,FLASH,YES,0xF38F,老化结束时间：DD,
0x90,RW,FLASH,YES,0xF390,老化结束时间：hh,
0x91,RW,FLASH,YES,0xF391,老化结束时间：mm,
0x92,RW,FLASH,YES,0xF392,temp[HI][MSB],
0x93,RW,FLASH,YES,0xF393,temp[HI][LSB],
0x94,RW,FLASH,YES,0xF394,temp[LO][MSB],
0x95,RW,FLASH,YES,0xF395,temp[LO][LSB],
0x96,RW,FLASH,YES,0xF396,vcc[HI][MSB],
0x97,RW,FLASH,YES,0xF397,vcc[HI][MSB],
0x98,RW,FLASH,YES,0xF398,vcc[LO][MSB],
0x99,RW,FLASH,YES,0xF399,vcc[LO][LSB],
0x9A,RW,FLASH,YES,0xF39A,ibias[0][HI][MSB],
0x9B,RW,FLASH,YES,0xF39B,ibias[0][HI][LSB],
0x9C,RW,FLASH,YES,0xF39C,ibias[0][LO][MSB],
0x9D,RW,FLASH,YES,0xF39D,ibias[0][LO][LSB],
0x9E,RW,FLASH,YES,0xF39E,ibias[1][HI][MSB],
0x9F,RW,FLASH,YES,0xF39F,ibias[1][HI][LSB],
0xA0,RW,FLASH,YES,0xF3A0,ibias[1][LO][MSB],
0xA1,RW,FLASH,YES,0xF3A1,ibias[1][LO][LSB],
0xA2,RW,FLASH,YES,0xF3A2,ibias[2][HI][MSB],
0xA3,RW,FLASH,YES,0xF3A3,ibias[2][HI][LSB],
0xA4,RW,FLASH,YES,0xF3A4,ibias[2][LO][MSB],
0xA5,RW,FLASH,YES,0xF3A5,ibias[2][LO][LSB],
0xA6,RW,FLASH,YES,0xF3A6,ibias[3][HI][MSB],
0xA7,RW,FLASH,YES,0xF3A7,ibias[3][HI][LSB],
0xA8,RW,FLASH,YES,0xF3A8,ibias[3][LO][MSB],
0xA9,RW,FLASH,YES,0xF3A9,ibias[3][LO][LSB],
0xAA,RW,FLASH,YES,0xF3AA,rssi[0][HI][MSB],
0xAB,RW,FLASH,YES,0xF3AB,rssi[0][HI][LSB],
0xAC,RW,FLASH,YES,0xF3AC,rssi[0][LO][MSB],
0xAD,RW,FLASH,YES,0xF3AD,rssi[0][LO][LSB],
0xAE,RW,FLASH,YES,0xF3AE,rssi[1][HI][MSB],
0xAF,RW,FLASH,YES,0xF3AF,rssi[1][HI][LSB],
0xB0,RW,FLASH,YES,0xF3B0,rssi[1][LO][MSB],
0xB1,RW,FLASH,YES,0xF3B1,rssi[1][LO][LSB],
0xB2,RW,FLASH,YES,0xF3B2,rssi[2][HI][MSB],
0xB3,RW,FLASH,YES,0xF3B3,rssi[2][HI][LSB],
0xB4,RW,FLASH,YES,0xF3B4,rssi[2][LO][MSB],
0xB5,RW,FLASH,YES,0xF3B5,rssi[2][LO][LSB],
0xB6,RW,FLASH,YES,0xF3B6,rssi[3][HI][MSB],
0xB7,RW,FLASH,YES,0xF3B7,rssi[3][HI][LSB],
